shapeId,shapeType,shapeLabel,pointId,pointX,pointY,source
0,point,,0,1612.8,798.6999999999999,
1,point,,0,1612.8,788.1999999999999,
2,point,,0,1614.1999999999998,776.3,
3,point,,0,1616.3,765.0999999999999,
4,point,,0,1616.3,755.3,
5,point,,0,1614.8999999999999,744.0999999999999,
6,point,,0,1616.3,734.3,
7,point,,0,1614.8999999999999,723.8,
8,point,,0,1614.8999999999999,714,
9,point,,0,1614.8999999999999,702.0999999999999,
10,point,,0,1616.3,690.9,
11,point,,0,1614.8999999999999,679.6999999999999,
12,point,,0,1614.8999999999999,679.6999999999999,
13,point,,0,1614.8999999999999,669.1999999999999,
14,point,,0,1612.8,655.9,
15,point,,0,1612.8,646.0999999999999,
16,point,,0,1612.8,636.3,
17,point,,0,1614.1999999999998,625.0999999999999,
18,point,,0,1616.3,615.3,
19,point,,0,1616.3,604.8,
20,point,,0,1614.8999999999999,592.9,
21,point,,0,1614.1999999999998,581.6999999999999,
22,point,,0,1614.1999999999998,567.6999999999999,
23,point,,0,1617,555.0999999999999,
24,point,,0,1616.3,543.8999999999999,
25,point,,0,1617,532,
26,point,,0,1617,520.8,
27,point,,0,1614.8999999999999,508.8999999999999,
28,point,,0,1616.3,496.99999999999994,
29,point,,0,1614.8999999999999,485.09999999999997,
30,point,,0,1612.8,473.8999999999999,
31,point,,0,1614.1999999999998,459.8999999999999,
32,point,,0,1614.1999999999998,447.29999999999995,
33,point,,0,1614.1999999999998,436.79999999999995,
34,point,,0,1612.8,424.19999999999993,
35,point,,0,1614.1999999999998,412.29999999999995,
36,point,,0,1614.1999999999998,399.69999999999993,
37,point,,0,1614.1999999999998,389.19999999999993,
38,point,,0,1614.1999999999998,378.69999999999993,
39,point,,0,1614.1999999999998,368.19999999999993,
40,point,,0,1614.8999999999999,356.29999999999995,
41,point,,0,1614.8999999999999,345.09999999999997,
42,point,,0,1614.8999999999999,335.29999999999995,
43,point,,0,1616.3,324.1,
44,point,,0,1614.1999999999998,314.29999999999995,
45,point,,0,1614.1999999999998,314.29999999999995,
46,point,,0,1614.8999999999999,303.1,
47,point,,0,1614.8999999999999,291.9,
48,point,,0,1614.8999999999999,280.70000000000005,
49,point,,0,1614.8999999999999,266,
50,point,,0,1628.1999999999998,286.30000000000007,
51,point,,0,1640.8,286.30000000000007,
52,point,,0,1640.8,286.30000000000007,
53,point,,0,1652,286.30000000000007,
54,point,,0,1663.1999999999998,286.30000000000007,
55,point,,0,1624,254.80000000000007,
56,point,,0,1637.3,252,
57,point,,0,1649.1999999999998,247.80000000000007,
58,point,,0,1663.1999999999998,247.10000000000002,
59,point,,0,1673,242.89999999999998,
60,point,,0,1684.1999999999998,242.89999999999998,
61,point,,0,1696.1,240.10000000000002,
62,point,,0,1607.8999999999999,254.10000000000002,
63,point,,0,1596,254.80000000000007,
64,point,,0,1582,259,
65,point,,0,1570.1,259.70000000000005,
66,point,,0,1556.8,261.80000000000007,
67,point,,0,1544.1999999999998,261.80000000000007,
68,point,,0,1530.1999999999998,265.30000000000007,
69,point,,0,1516.8999999999999,266,
70,point,,0,1502.8999999999999,270.20000000000005,
71,point,,0,1490.3,270.9,
72,point,,0,1476.3,277.20000000000005,
73,point,,0,1460.8999999999999,279.30000000000007,
74,point,,0,1448.3,280.70000000000005,
75,point,,0,1437.1,280.70000000000005,
76,point,,0,1425.8999999999999,282.80000000000007,
77,point,,0,1411.8999999999999,287,
78,point,,0,1397.1999999999998,289.80000000000007,
79,point,,0,1385.3,289.80000000000007,
80,point,,0,1635.1999999999998,567.6999999999999,
81,point,,0,1645.6999999999998,567.6999999999999,
82,point,,0,1624,569.0999999999999,
83,point,,0,1656.8999999999999,567,
