shapeId,shapeType,shapeLabel,pointId,pointX,pointY,source
0,point,,0,1568.6999999999998,560,
1,point,,0,1556.8,560.6999999999999,
2,point,,0,1546.3,562.0999999999999,
3,point,,0,1533.6999999999998,562.0999999999999,
4,point,,0,1523.1999999999998,562.0999999999999,
5,point,,0,1512.6999999999998,562.0999999999999,
6,point,,0,1512.6999999999998,550.1999999999999,
7,point,,0,1511.3,539,
8,point,,0,1512,527.8,
9,point,,0,1512,517.3,
10,point,,0,1511.3,506.09999999999997,
11,point,,0,1511.3,494.8999999999999,
12,point,,0,1509.8999999999999,485.09999999999997,
13,point,,0,1509.8999999999999,473.8999999999999,
14,point,,0,1509.8999999999999,464.09999999999997,
15,point,,0,1509.8999999999999,454.29999999999995,
16,point,,0,1509.1999999999998,443.79999999999995,
17,point,,0,1509.1999999999998,433.99999999999994,
18,point,,0,1509.1999999999998,424.19999999999993,
19,point,,0,1509.1999999999998,424.19999999999993,
20,point,,0,1509.1999999999998,413.69999999999993,
21,point,,0,1509.8999999999999,401.79999999999995,
22,point,,0,1509.8999999999999,391.29999999999995,
23,point,,0,1509.8999999999999,380.1,
24,point,,0,1509.8999999999999,368.9,
25,point,,0,1509.8999999999999,359.1,
26,point,,0,1509.8999999999999,347.9,
27,point,,0,1521.8,345.1,
